benchmarks,hbc_rf (speedup),hbc_rf_kmod (speedup),hbc_static (speedup),hbc (speedup),hbc_rf (stdev),hbc_rf_kmod (stdev),hbc_static (stdev),hbc (stdev)
mandelbrot,56.4,63.4,64.2,64.2,1.058572986,0.2358286486,0.1762086688,0.4320248309
mandelbulb,55.9,61.9,63.7,63.7,1.639867881,0.07735527379,0.3077631911,0.1397653156
,,,,,,,,
cg,6.2,7.65,7.7,7.5,0.2678350033,0.07279320418,0.0921735298,0.0943826298
spmv_arrowhead,5.5,,6.4,6.4,0.1140175425,,0.05860327153,0.06092717958
spmv_powerlaw,,,16.1,16,,,0.1067944311,0.123398836
,,,,,,,,
spmv_twitter,,,9.9,9.9,,,0.08539273501,0.0905873093
spmv_random,16.7,18.8,19.1,19,0.6760692989,0.2874812247,0.3424967743,0.4043638226
floyd_warshall,,,16.6,11,0.6080898311,0.07000014724,0.2656495755,0.1817424085
plus_reduce_array,14.7,17.4,17.7,17.6,0.5828144879,0.2812148968,0.2368479886,0.2052320687
srad,20.1,31.5,31.6,31.8,1.47281567,0.4851907883,0.5980397271,0.5886562338
geomean,,,18.9,18,,,,
