i (arrowhead),nonzeros (arrowhead),chunksize (arrowhead),i (powerlaw),nonzeros (powerlaw),chunksize (powerlaw),i (powerlaw_reverse),nonzeros (powerlaw_reverse),chunksize (powerlaw_reverse),i (random),nonzeros (random),chunksize (random)
0,10000,1,0,5175,1,0,0,1,0,9,1
1,2,1,1,3209,1,1,2,1,1,10,1
2,2,1,2,3209,1,2,2,1,2,10,1
3,2,1,3,1816,1,3,2,1,3,10,1
4,2,1,4,1816,1,4,2,1,4,10,1
5,2,1,5,1816,1,5,2,1,5,10,1
6,2,1,6,1816,1,6,2,1,6,10,1
7,2,1,7,954,1,7,2,1,7,10,1
8,2,1,8,954,1,8,2,1,8,10,1
9,2,1,9,954,1,9,2,1,9,10,1
10,2,1,10,955,1,10,2,1,10,10,1
11,2,1,11,955,1,11,2,1,11,10,1
12,2,1,12,955,1,12,2,1,12,10,1
13,2,1,13,954,1,13,2,1,13,10,1
14,2,1,14,953,1,14,2,1,14,9,1
15,2,1,15,490,1,15,2,1,15,10,1
16,2,1,16,490,1,16,2,1,16,9,1
17,2,1,17,490,1,17,2,1,17,10,1
18,2,1,18,490,1,18,2,1,18,9,1
19,2,1,19,490,1,19,2,1,19,10,1
20,2,1,20,490,1,20,2,1,20,10,1
21,2,1,21,490,1,21,2,1,21,10,1
22,2,1,22,490,1,22,2,1,22,10,1
23,2,1,23,491,1,23,2,1,23,10,1
24,2,1,24,491,1,24,2,1,24,10,1
25,2,1,25,491,1,25,2,1,25,10,1
26,2,1,26,491,1,26,2,1,26,10,1
27,2,1,27,492,1,27,2,1,27,10,1
28,2,1,28,492,1,28,2,1,28,10,1
29,2,1,29,492,1,29,2,1,29,10,1
30,2,1,30,492,1,30,2,1,30,10,1
31,2,1,31,250,1,31,2,1,31,10,1
32,2,1,32,250,1,32,2,1,32,10,1
33,2,1,33,250,1,33,2,1,33,10,1
34,2,1,34,250,1,34,2,1,34,10,1
35,2,1,35,250,1,35,2,1,35,10,1
36,2,1,36,250,1,36,2,1,36,10,1
37,2,1,37,249,1,37,2,1,37,10,1
38,2,1,38,249,1,38,2,1,38,10,1
39,2,1,39,249,1,39,2,1,39,10,1
40,2,1,40,249,1,40,2,1,40,10,1
41,2,1,41,249,1,41,2,1,41,9,1
42,2,1,42,249,1,42,2,1,42,9,1
43,2,1,43,249,1,43,2,1,43,10,1
44,2,1,44,249,1,44,2,1,44,10,1
45,2,1,45,249,1,45,2,1,45,10,1
46,2,1,46,249,1,46,2,1,46,10,1
47,2,1,47,249,1,47,2,1,47,9,1
48,2,1,48,249,1,48,2,1,48,10,1
49,2,1,49,249,1,49,2,1,49,10,1
50,2,1,50,249,1,50,2,1,50,10,1
51,2,1,51,249,1,51,2,1,51,10,1
52,2,1,52,249,1,52,2,1,52,10,1
53,2,1,53,249,1,53,2,1,53,10,1
54,2,1,54,249,1,54,2,1,54,10,1
55,2,1,55,249,1,55,2,1,55,10,1
56,2,1,56,249,1,56,2,1,56,10,1
57,2,1,57,249,1,57,2,1,57,10,1
58,2,1,58,249,1,58,2,1,58,9,1
59,2,1,59,249,1,59,2,1,59,10,1
60,2,1,60,249,1,60,2,1,60,10,1
61,2,1,61,249,1,61,2,1,61,10,1
62,2,1,62,249,1,62,2,1,62,10,1
63,2,1,63,126,1,63,2,1,63,10,1
64,2,1,64,127,1,64,2,1,64,10,1
65,2,1,65,127,1,65,2,1,65,10,1
66,2,1,66,127,1,66,2,1,66,10,1
67,2,1,67,127,1,67,2,1,67,10,1
68,2,1,68,127,1,68,2,1,68,10,1
69,2,1,69,127,1,69,2,1,69,10,1
70,2,1,70,127,1,70,2,1,70,10,1
71,2,1,71,127,1,71,2,1,71,10,1
72,2,1,72,127,1,72,2,1,72,10,1
73,2,1,73,127,1,73,2,1,73,10,1
74,2,1,74,127,1,74,2,1,74,10,1
75,2,1,75,127,1,75,2,1,75,10,1
76,2,1,76,127,1,76,2,1,76,10,15
77,2,1,77,127,1,77,2,1,77,10,15
78,2,1,78,127,1,78,2,1,78,10,15
79,2,1,79,127,1,79,2,1,79,10,15
80,2,1,80,127,1,80,2,1,80,10,15
81,2,1,81,126,1,81,2,1,81,10,15
82,2,1,82,126,1,82,2,1,82,9,15
83,2,1,83,126,1,83,2,1,83,10,15
84,2,1,84,126,1,84,2,1,84,10,15
85,2,1,85,126,1,85,2,1,85,10,15
86,2,1,86,126,1,86,2,1,86,10,15
87,2,1,87,126,1,87,2,1,87,10,15
88,2,1,88,126,1,88,2,1,88,10,15
89,2,1,89,126,1,89,2,1,89,10,15
90,2,1,90,126,1,90,2,1,90,10,15
91,2,1,91,126,1,91,2,1,91,10,15
92,2,1,92,126,1,92,2,1,92,10,15
93,2,1,93,126,4,93,2,1,93,10,15
94,2,1,94,126,4,94,2,1,94,9,15
95,2,1,95,126,4,95,2,1,95,10,15
96,2,1,96,126,4,96,2,1,96,10,15
97,2,1,97,126,4,97,2,1,97,10,15
98,2,1,98,126,4,98,2,1,98,10,15
99,2,1,99,125,4,99,2,1,99,10,15
100,2,1,100,125,4,100,2,1,100,10,15
101,2,1,101,125,4,101,2,1,101,10,15
102,2,1,102,125,4,102,2,1,102,10,15
103,2,1,103,125,4,103,2,1,103,10,15
104,2,1,104,125,4,104,2,1,104,10,15
105,2,1,105,125,4,105,2,1,105,10,15
106,2,1,106,124,4,106,2,1,106,10,15
107,2,1,107,124,4,107,2,1,107,10,15
108,2,1,108,124,4,108,2,1,108,10,15
109,2,1,109,124,4,109,2,1,109,10,15
110,2,1,110,124,4,110,2,1,110,10,15
111,2,1,111,124,4,111,2,1,111,10,15
112,2,1,112,124,4,112,2,1,112,10,15
113,2,1,113,124,4,113,2,1,113,10,15
114,2,1,114,124,4,114,2,1,114,10,15
115,2,1,115,124,4,115,2,1,115,10,15
116,2,1,116,124,4,116,2,1,116,10,15
117,2,1,117,124,4,117,2,1,117,10,15
118,2,1,118,124,4,118,2,1,118,10,15
119,2,1,119,124,4,119,2,1,119,10,15
120,2,1,120,124,4,120,2,1,120,10,15
121,2,1,121,124,4,121,2,1,121,10,15
122,2,1,122,124,4,122,2,1,122,10,15
123,2,1,123,124,4,123,2,1,123,10,15
124,2,1,124,124,4,124,2,1,124,10,15
125,2,1,125,124,4,125,2,1,125,10,15
126,2,1,126,124,4,126,2,1,126,10,15
127,2,1,127,63,4,127,2,1,127,10,15
128,2,1,128,63,4,128,2,1,128,10,15
129,2,1,129,63,4,129,2,1,129,10,15
130,2,1,130,63,4,130,2,1,130,10,15
131,2,1,131,63,4,131,2,1,131,10,15
132,2,1,132,63,4,132,2,1,132,10,15
133,2,1,133,63,4,133,2,20,133,10,15
134,2,1,134,63,4,134,2,20,134,9,15
135,2,1,135,63,4,135,2,20,135,10,15
136,2,1,136,63,4,136,2,20,136,9,15
137,2,1,137,63,4,137,2,20,137,9,15
138,2,1,138,63,4,138,2,20,138,10,15
139,2,1,139,63,4,139,2,20,139,10,15
140,2,1,140,63,4,140,2,20,140,10,15
141,2,1,141,63,4,141,2,20,141,10,15
142,2,1,142,63,4,142,2,20,142,10,15
143,2,1,143,63,4,143,2,20,143,10,15
144,2,1,144,63,4,144,2,20,144,10,15
145,2,1,145,63,4,145,2,20,145,10,15
146,2,1,146,63,4,146,2,20,146,10,15
147,2,1,147,63,4,147,2,20,147,10,15
148,2,1,148,63,4,148,2,20,148,10,15
149,2,1,149,63,4,149,2,20,149,10,15
150,2,1,150,63,4,150,2,20,150,10,15
151,2,1,151,63,4,151,2,20,151,10,15
152,2,1,152,63,4,152,2,20,152,10,15
153,2,1,153,63,4,153,2,20,153,9,15
154,2,1,154,63,4,154,2,20,154,10,15
155,2,1,155,63,4,155,2,20,155,10,15
156,2,1,156,63,4,156,2,20,156,10,15
157,2,1,157,63,4,157,2,20,157,10,15
158,2,1,158,63,4,158,2,20,158,10,15
159,2,1,159,64,4,159,2,20,159,10,15
160,2,1,160,64,4,160,2,20,160,10,15
161,2,1,161,64,4,161,2,20,161,10,15
162,2,1,162,64,4,162,2,20,162,9,15
163,2,1,163,63,4,163,2,20,163,10,15
164,2,1,164,63,4,164,2,20,164,10,15
165,2,1,165,63,4,165,2,20,165,10,15
166,2,1,166,63,4,166,2,20,166,10,15
167,2,1,167,63,4,167,2,20,167,10,15
168,2,1,168,63,4,168,2,20,168,10,15
169,2,1,169,63,4,169,2,20,169,10,15
170,2,1,170,62,4,170,2,20,170,10,15
171,2,1,171,62,4,171,2,20,171,10,15
172,2,1,172,62,4,172,2,20,172,10,15
173,2,1,173,62,4,173,2,20,173,10,15
174,2,1,174,63,4,174,2,20,174,10,15
175,2,1,175,63,4,175,2,20,175,9,15
176,2,1,176,63,4,176,2,20,176,10,15
177,2,1,177,63,6,177,2,20,177,10,15
178,2,1,178,63,6,178,2,20,178,10,15
179,2,1,179,63,6,179,2,20,179,10,15
180,2,1,180,63,6,180,2,20,180,10,15
181,2,1,181,63,6,181,2,20,181,10,15
182,2,1,182,63,6,182,2,20,182,10,15
183,2,1,183,63,6,183,2,20,183,10,15
184,2,1,184,63,6,184,2,20,184,9,15
185,2,1,185,63,6,185,2,20,185,10,15
186,2,1,186,63,6,186,2,20,186,9,15
187,2,1,187,63,6,187,2,20,187,10,15
188,2,1,188,63,6,188,2,20,188,10,15
189,2,1,189,63,6,189,2,20,189,10,15
190,2,1,190,63,6,190,2,20,190,10,15
191,2,1,191,63,6,191,2,20,191,10,15
192,2,1,192,63,6,192,2,20,192,10,15
193,2,1,193,63,6,193,2,20,193,10,15
194,2,1,194,63,6,194,2,20,194,10,15
195,2,1,195,63,6,195,2,20,195,10,15
196,2,1,196,64,6,196,2,20,196,10,15
197,2,1,197,64,6,197,2,20,197,10,15
198,2,1,198,64,6,198,2,20,198,10,15
199,2,1,199,64,6,199,2,20,199,10,15
200,2,1,200,64,6,200,2,20,200,9,15
201,2,1,201,64,6,201,2,20,201,10,15
202,2,1,202,64,6,202,2,20,202,10,15
203,2,1,203,64,6,203,2,20,203,10,15
204,2,1,204,64,6,204,2,20,204,10,15
205,2,1,205,64,6,205,2,20,205,10,15
206,2,1,206,64,6,206,2,20,206,10,15
207,2,1,207,64,6,207,2,20,207,10,15
208,2,1,208,64,6,208,2,20,208,10,15
209,2,1,209,64,6,209,2,20,209,10,15
210,2,1,210,64,6,210,2,20,210,10,15
211,2,1,211,64,6,211,2,20,211,9,30
212,2,1,212,64,6,212,2,20,212,10,30
213,2,1,213,64,6,213,2,20,213,10,30
214,2,1,214,64,6,214,2,20,214,10,30
215,2,1,215,64,6,215,2,20,215,10,30
216,2,1,216,64,6,216,2,20,216,10,30
217,2,1,217,64,6,217,2,20,217,10,30
218,2,1,218,64,6,218,2,20,218,9,30
219,2,1,219,64,6,219,2,20,219,10,30
220,2,1,220,64,6,220,2,20,220,10,30
221,2,1,221,64,6,221,2,20,221,10,30
222,2,1,222,64,6,222,2,20,222,10,30
223,2,1,223,64,6,223,2,20,223,10,30
224,2,1,224,64,6,224,2,20,224,10,30
225,2,1,225,64,6,225,2,20,225,10,30
226,2,1,226,64,6,226,2,20,226,10,30
227,2,1,227,64,6,227,2,20,227,10,30
228,2,1,228,64,6,228,2,20,228,9,30
229,2,1,229,63,6,229,2,20,229,10,30
230,2,1,230,63,6,230,2,20,230,10,30
231,2,1,231,63,6,231,2,20,231,10,30
232,2,1,232,63,6,232,2,20,232,10,30
233,2,1,233,63,6,233,2,20,233,10,30
234,2,1,234,63,6,234,2,20,234,10,30
235,2,1,235,63,6,235,2,20,235,9,30
236,2,1,236,63,6,236,2,20,236,10,30
237,2,1,237,63,6,237,2,20,237,10,30
238,2,1,238,63,6,238,2,20,238,10,30
239,2,1,239,63,6,239,2,20,239,10,30
240,2,1,240,63,6,240,2,20,240,9,30
241,2,1,241,63,6,241,2,20,241,10,30
242,2,1,242,63,6,242,2,20,242,10,30
243,2,1,243,63,6,243,2,20,243,10,30
244,2,1,244,63,6,244,2,20,244,9,30
245,2,1,245,63,6,245,2,20,245,10,30
246,2,1,246,63,6,246,2,20,246,10,30
247,2,1,247,63,6,247,2,20,247,10,30
248,2,1,248,63,6,248,2,20,248,10,30
249,2,1,249,63,6,249,2,20,249,10,30
250,2,1,250,64,6,250,2,20,250,10,30
251,2,1,251,64,6,251,2,20,251,10,30
252,2,1,252,64,6,252,2,20,252,10,30
253,2,1,253,64,6,253,2,20,253,9,30
254,2,1,254,64,6,254,2,20,254,10,30
255,2,1,255,32,6,255,2,20,255,10,30
256,2,1,256,32,6,256,2,20,256,10,30
257,2,1,257,32,6,257,2,20,257,10,30
258,2,1,258,32,6,258,2,20,258,10,30
259,2,1,259,32,6,259,2,20,259,10,30
260,2,42,260,32,6,260,2,20,260,9,30
261,2,42,261,32,6,261,2,20,261,10,30
262,2,42,262,32,6,262,2,20,262,10,30
263,2,42,263,32,6,263,2,20,263,10,30
264,2,42,264,32,6,264,2,20,264,10,30
265,2,42,265,32,6,265,2,20,265,10,30
266,2,42,266,32,6,266,2,20,266,10,30
267,2,42,267,32,6,267,2,20,267,10,30
268,2,42,268,32,6,268,2,20,268,10,30
269,2,42,269,32,6,269,2,20,269,10,30
270,2,42,270,32,6,270,2,20,270,10,30
271,2,42,271,32,6,271,2,20,271,10,30
272,2,42,272,32,6,272,2,20,272,10,30
273,2,42,273,32,6,273,2,20,273,10,30
274,2,42,274,32,6,274,2,20,274,10,30
275,2,42,275,32,6,275,2,20,275,10,30
276,2,42,276,32,6,276,2,20,276,10,30
277,2,42,277,32,6,277,2,20,277,10,30
278,2,42,278,32,6,278,2,20,278,10,30
279,2,42,279,32,6,279,2,20,279,10,30
280,2,42,280,32,6,280,2,20,280,10,30
281,2,42,281,32,6,281,2,20,281,10,30
282,2,42,282,32,6,282,2,20,282,10,30
283,2,42,283,32,6,283,2,20,283,10,30
284,2,42,284,32,6,284,2,20,284,9,30
285,2,42,285,32,6,285,2,20,285,10,30
286,2,42,286,32,6,286,2,20,286,10,30
287,2,42,287,32,6,287,2,20,287,10,30
288,2,42,288,32,6,288,2,20,288,10,30
289,2,42,289,32,6,289,2,20,289,10,30
290,2,42,290,32,6,290,2,20,290,10,30
291,2,42,291,32,6,291,2,20,291,10,30
292,2,42,292,32,6,292,2,20,292,10,30
293,2,42,293,32,6,293,2,20,293,10,30
294,2,42,294,32,6,294,2,20,294,10,30
295,2,42,295,32,6,295,2,20,295,10,30
296,2,42,296,32,6,296,2,20,296,10,30
297,2,42,297,32,6,297,2,20,297,9,30
298,2,42,298,32,6,298,2,20,298,10,30
299,2,42,299,32,6,299,2,20,299,9,30
300,2,42,300,32,6,300,2,20,300,10,30
301,2,42,301,32,6,301,2,20,301,10,30
302,2,42,302,32,6,302,2,20,302,10,30
303,2,42,303,32,6,303,2,20,303,10,30
304,2,42,304,32,6,304,2,20,304,10,30
305,2,42,305,32,6,305,2,20,305,10,30
306,2,42,306,32,6,306,2,20,306,9,30
307,2,42,307,32,6,307,2,20,307,10,30
308,2,42,308,32,6,308,2,20,308,10,30
309,2,42,309,32,6,309,2,20,309,10,30
310,2,42,310,32,6,310,2,20,310,10,30
311,2,42,311,32,6,311,2,20,311,10,30
312,2,42,312,32,6,312,2,20,312,10,30
313,2,42,313,32,6,313,2,20,313,10,30
314,2,42,314,32,6,314,2,20,314,10,30
315,2,42,315,32,6,315,2,20,315,10,30
316,2,42,316,32,6,316,2,20,316,10,30
317,2,42,317,32,6,317,2,20,317,10,30
318,2,42,318,32,6,318,2,20,318,10,30
319,2,42,319,32,6,319,2,20,319,10,30
320,2,42,320,32,6,320,2,20,320,10,30
321,2,42,321,32,6,321,2,20,321,10,30
322,2,42,322,32,6,322,2,20,322,10,30
323,2,42,323,32,6,323,2,20,323,10,30
324,2,42,324,32,6,324,2,20,324,9,30
325,2,42,325,32,6,325,2,20,325,10,30
326,2,42,326,32,15,326,2,20,326,10,30
327,2,42,327,32,15,327,2,20,327,10,30
328,2,42,328,32,15,328,2,20,328,10,30
329,2,42,329,32,15,329,2,20,329,10,30
330,2,42,330,32,15,330,2,20,330,10,30
331,2,42,331,32,15,331,2,20,331,10,30
332,2,42,332,32,15,332,2,20,332,10,30
333,2,42,333,32,15,333,2,20,333,10,30
334,2,42,334,32,15,334,2,20,334,9,30
335,2,42,335,32,15,335,2,20,335,10,30
336,2,42,336,32,15,336,2,20,336,10,30
337,2,42,337,32,15,337,2,20,337,9,30
338,2,42,338,32,15,338,2,20,338,10,30
339,2,42,339,32,15,339,2,20,339,10,30
340,2,42,340,32,15,340,2,20,340,10,30
341,2,42,341,32,15,341,2,20,341,10,30
342,2,42,342,32,15,342,2,20,342,10,30
343,2,42,343,32,15,343,2,20,343,10,30
344,2,42,344,32,15,344,2,20,344,10,30
345,2,42,345,32,15,345,2,20,345,10,30
346,2,42,346,32,15,346,2,20,346,10,30
347,2,42,347,32,15,347,2,20,347,10,30
348,2,42,348,32,15,348,2,20,348,10,30
349,2,42,349,32,15,349,2,20,349,10,30
350,2,42,350,32,15,350,2,20,350,10,30
351,2,42,351,32,15,351,2,20,351,10,30
352,2,42,352,32,15,352,2,20,352,10,30
353,2,42,353,32,15,353,2,20,353,10,30
354,2,42,354,32,15,354,2,20,354,10,30
355,2,42,355,32,15,355,2,20,355,10,30
356,2,42,356,32,15,356,2,20,356,10,30
357,2,42,357,32,15,357,2,20,357,10,30
358,2,42,358,32,15,358,2,20,358,10,30
359,2,42,359,32,15,359,2,20,359,10,30
360,2,42,360,32,15,360,2,20,360,9,30
361,2,42,361,32,15,361,2,20,361,10,30
362,2,42,362,32,15,362,2,20,362,10,30
363,2,42,363,32,15,363,2,20,363,10,30
364,2,42,364,32,15,364,2,20,364,10,30
365,2,42,365,32,15,365,2,20,365,10,30
366,2,42,366,32,15,366,2,20,366,10,30
367,2,42,367,32,15,367,2,20,367,10,30
368,2,42,368,32,15,368,2,20,368,10,30
369,2,42,369,32,15,369,2,20,369,10,30
370,2,42,370,32,15,370,2,20,370,10,30
371,2,42,371,32,15,371,2,20,371,10,30
