benchmarks,hbc,openmp_static,openmp_dynamic,openmp_guided,openmp (best),hbc (stdev),openmp_static (stdev),openmp_dynamic (stdev),openmp_guided (stdev)
mandelbrot,63.7,31,55.8,57.5,57.5,1.268178242,0.2909475674,1.113505842,0.8000102736
mandelbulb,61.5,32.1,32.5,32.5,32.5,0.1026263306,0.1520593689,0.07426326862,0.1105950187
cg,7.4,4,3.9,4,4,0.04769706211,0.09370975694,0.2009864791,0.06579904517
spmv-arrowhead,6.4,1.8,2.1,1.8,2.1,0.05370285507,0.04793095254,0.0556150782,0.1556877032
spmv-powerlaw,17.1,1,12.9,1.1,12.9,0.07730990315,0.06575475815,0.3221258642,0.0939141011
geomean,20,5.9,11.4,6.8,11.5,,,,
spmv-random,19.5,19.1,22.2,20.1,22.2,0.5193676036,0.4432777322,0.8856426226,0.4918510609
floyd-warshall,24.1,32.6,30.7,27.1,32.6,0.3670041384,0.6156253622,0.2777557019,0.4496179719
plus-reduce-array,20.5,18.9,1.5,19.8,19.8,0.3758507585,0.2892179851,0.003057583614,0.2934010643
srad,42,45.9,48.9,40.3,48.9,1.203845477,2.061783457,2.222695285,1.482953501
geomean,25.2,27.1,15,25.7,28.9,,,,
